Plastic Stress, Plastic Strain 
107.796,          0.
 107.804,    6.93e-05
 108.081, 0.000138525
  108.09, 0.000219326
 108.502, 0.000282808
  108.51, 0.000352053
 108.788, 0.000427066
 108.796, 0.000502072
 109.209, 0.000571301
 109.217, 0.000640533
 109.224, 0.000709753
 109.503, 0.000784737
 109.511, 0.000853948
 109.924, 0.000928923
 109.932, 0.000998127
  109.94,  0.00106732
 110.218,  0.00114228
 110.361,  0.00121147
 110.369,  0.00128641
 110.647,   0.0013556
 110.655,  0.00142477
 110.663,  0.00149393
 110.806,  0.00156886
 111.085,  0.00164378
 111.092,  0.00170717
 111.236,  0.00178208
 111.244,  0.00185699
 111.387,  0.00192612
  111.53,  0.00199525
 111.539,  0.00207014
 111.682,  0.00213927
 111.825,  0.00220838
 111.833,  0.00228326
 111.977,  0.00235812
 111.985,  0.00242723
 111.992,  0.00249633
    112.,  0.00256542
 112.279,  0.00264026
 112.288,   0.0027151
 112.431,  0.00278418
 112.438,   0.0028475
 112.447,  0.00292808
 112.588,  0.00297413
 112.735,   0.0030777
 112.741,   0.0031295
 112.753,  0.00323881
 112.758,  0.00328485
 112.899,  0.00333089
 112.911,  0.00344018
 112.914,  0.00346894
 113.195,  0.00355524
 113.205,  0.00363575
 113.214,  0.00371628
 113.223,  0.00380252
 113.362,  0.00382552
 113.371,  0.00390604
  113.38,  0.00398651
 113.387,  0.00404977
   113.4,  0.00416473
 113.542,  0.00422222
 113.549,   0.0042797
 113.697,  0.00439465
 113.704,  0.00445212
  113.84,  0.00456704
 113.853,   0.0046245
 113.859,   0.0047394
 113.872,  0.00479686
 113.879,  0.00485431
 113.885,  0.00496918
 113.898,  0.00502663
  114.17,  0.00514147
 114.176,  0.00519891
  114.19,  0.00531374
 114.196,  0.00537117
 114.209,  0.00542858
 114.216,  0.00548597
 114.222,  0.00554339
 114.229,  0.00565818
 114.235,  0.00571559
 114.249,  0.00577298
 114.391,  0.00588775
 114.398,  0.00594513
 114.547,  0.00605989
 114.553,  0.00611726
 114.566,    0.006232
 114.709,  0.00628936
 114.722,  0.00634673
 114.728,  0.00640407
 114.735,  0.00646143
 114.742,  0.00657612
 114.748,  0.00663346
 114.897,  0.00669081
 114.768,  0.00680547
  114.91,  0.00686281
 114.924,  0.00697745
  114.93,  0.00703478
 114.943,   0.0071494
  114.95,  0.00720672
 114.963,  0.00726402
  114.97,  0.00737863
 114.976,  0.00749322
  114.99,  0.00755051
 115.003,  0.00760779
 115.009,  0.00772236
 115.016,  0.00777963
 115.165,  0.00783691
 115.172,  0.00789418
 115.178,  0.00800871
 115.185,  0.00806597
 115.198,  0.00812322
 115.205,  0.00818048
 115.211,  0.00829498
 115.354,  0.00835223
 115.231,  0.00852394
  115.51,  0.00863839
  115.53,  0.00869562
 115.543,  0.00875284
  115.55,  0.00886728
 115.556,  0.00898169
  115.57,   0.0090389
 115.583,   0.0090961
 115.589,   0.0092105
 115.596,  0.00926768
 115.609,  0.00932487
 115.616,  0.00938206
 115.622,  0.00949642
 115.629,   0.0095536
 115.642,  0.00961076
 115.785,  0.00966793
 115.792,   0.0097251
 115.799,  0.00983942
 115.805,   0.0100109
 115.818,   0.0101252
 115.838,   0.0101823
 115.852,   0.0103537
 115.858,   0.0104679
 115.878,   0.0105251
 115.891,   0.0105822
 115.898,   0.0106964
 115.904,   0.0108106
 115.918,   0.0108677
 115.931,   0.0109819
 115.938,    0.011039
 115.951,   0.0111532
 115.957,   0.0112103
 115.971,   0.0113244
 115.977,   0.0114956
  115.99,   0.0116668
  116.01,   0.0118379
